arn,username,user_id,account_id,path,email_tag,created_date,password_last_used,access_key_last_used,account_type,has_console_access,has_programmatic_access,tags
arn:aws:iam::123456789012:user/c.hodges,c.hodges,AIDAE27ITPQJ3YE46Z2CX,123456789012,/,chad.hodges@corp.nexusai.com,2021-04-28,2026-06-18 00:00:00,2026-06-18 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""chad.hodges@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/katiea,katiea,AIDAO4XZ5JWB6GS2FHJWT,123456789012,/it/,katie.anderson@corp.nexusai.com,2024-06-16,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""katie.anderson@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/david-walker,david-walker,AIDANDWRKUSSRGI2DRIIP,123456789012,/engineering/,,2023-07-28,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""david.walker@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/jeremyw,jeremyw,AIDADZTO3FGAN6EIO4AAV,123456789012,/it/,jeremy.whitehead@corp.nexusai.com,2024-01-26,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""jeremy.whitehead@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/jason-anderson,jason-anderson,AIDAAXUIY2XL6EBEAQNCD,123456789012,/finance/,jason.anderson@corp.nexusai.com,2024-10-23,2026-06-16 00:00:00,2026-06-16 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""jason.anderson@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/s.duncan,s.duncan,AIDANJUZET3PDPF3H5DTL,123456789012,/security/,,2023-12-27,2025-08-03 00:00:00,2025-08-03 00:00:00,human,True,True,"{""Department"": ""Security"", ""Email"": ""selena.duncan@corp.nexusai.com"", ""CostCenter"": ""Security""}"
arn:aws:iam::123456789012:user/thomasm,thomasm,AIDABV3REQE75XD7KXKQG,123456789012,/,thomas.mueller@corp.nexusai.com,2022-07-26,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""thomas.mueller@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/l.lee,l.lee,AIDA2OUP2UREXHDLOCZE5,123456789012,/finance/,,2025-05-06,2025-11-26 00:00:00,2025-11-26 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""lindsey.lee@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/c.jordan,c.jordan,AIDAMPJA2BOWAVAYTGNP2,123456789012,/engineering/,collin.jordan@corp.nexusai.com,2024-10-24,2026-06-16 00:00:00,2026-06-16 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""collin.jordan@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/r.morgan,r.morgan,AIDAZDTQLBZ4PG5GIHADO,123456789012,/,richard.morgan@corp.nexusai.com,2025-05-06,2025-06-17 00:00:00,2025-06-17 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""richard.morgan@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/jamesw,jamesw,AIDAR4JCPS726DFRYI2MP,123456789012,/,james.west@corp.nexusai.com,2023-05-18,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""james.west@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/r.ramirez,r.ramirez,AIDAOBRD6WOKGPPRDOYWL,123456789012,/,robert.ramirez@corp.nexusai.com,2024-07-24,2026-06-11 00:00:00,2026-06-11 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""robert.ramirez@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/johnl,johnl,AIDAJJHXEXZGVTUIK37UL,123456789012,/,,2023-02-19,2025-08-23 00:00:00,2025-08-23 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""john.leblanc@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/y.huff,y.huff,AIDAYG6OK4ECSBUQGEVKY,123456789012,/,yvette.huff@corp.nexusai.com,2021-08-24,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""HR"", ""Email"": ""yvette.huff@corp.nexusai.com"", ""CostCenter"": ""HR""}"
arn:aws:iam::123456789012:user/melindam,melindam,AIDAXA3FS6MGBNKSF6HTZ,123456789012,/,melinda.martin@corp.nexusai.com,2020-11-03,2025-03-29 00:00:00,2025-03-29 00:00:00,human,True,False,"{""Department"": ""Marketing"", ""Email"": ""melinda.martin@corp.nexusai.com"", ""CostCenter"": ""Marketing""}"
arn:aws:iam::123456789012:user/richard-brown,richard-brown,AIDA26P6TFZCJH4LKNMIC,123456789012,/,richard.brown@corp.nexusai.com,2024-02-16,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""Marketing"", ""Email"": ""richard.brown@corp.nexusai.com"", ""CostCenter"": ""Marketing""}"
arn:aws:iam::123456789012:user/s.henderson,s.henderson,AIDAD6RXBVTTR7GOIT4UR,123456789012,/,spencer.henderson@corp.nexusai.com,2021-05-07,2026-06-20 00:00:00,2026-06-20 00:00:00,human,True,False,"{""Department"": ""Legal"", ""Email"": ""spencer.henderson@corp.nexusai.com"", ""CostCenter"": ""Legal""}"
arn:aws:iam::123456789012:user/a.higgins,a.higgins,AIDAX5ZHBPX74L6WWKQFS,123456789012,/,,2024-01-18,2026-06-07 00:00:00,2026-06-07 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""angela.higgins@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/e.phillips,e.phillips,AIDALAOQTR3YW5QN5TZGA,123456789012,/finance/,eric.phillips@corp.nexusai.com,2022-10-08,2026-06-09 00:00:00,2026-06-09 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""eric.phillips@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/a.adkins,a.adkins,AIDAMVO6WTKLSG6IQLVFO,123456789012,/engineering/,amy.adkins@corp.nexusai.com,2022-11-22,2025-11-27 00:00:00,2025-11-27 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""amy.adkins@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/brians,brians,AIDAHYT2DJIMV25JULF7V,123456789012,/it/,brian.silva@corp.nexusai.com,2023-11-18,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""brian.silva@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/christopher-lopez,christopher-lopez,AIDABKHXCYQDDGBDH24YH,123456789012,/,christopher.lopez@corp.nexusai.com,2022-04-05,2026-06-20 00:00:00,2026-06-20 00:00:00,human,True,False,"{""Department"": ""HR"", ""Email"": ""christopher.lopez@corp.nexusai.com"", ""CostCenter"": ""HR""}"
arn:aws:iam::123456789012:user/brooke-leonard,brooke-leonard,AIDAQ6JNAT2GRI2GHSHG7,123456789012,/,brooke.leonard@corp.nexusai.com,2025-03-23,2026-06-18 00:00:00,2026-06-18 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""brooke.leonard@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/j.wilson,j.wilson,AIDAPAAFH7JFEGQO5SQ5D,123456789012,/,joe.wilson@corp.nexusai.com,2021-01-02,2025-12-05 00:00:00,2025-12-05 00:00:00,human,True,False,"{""Department"": ""Legal"", ""Email"": ""joe.wilson@corp.nexusai.com"", ""CostCenter"": ""Legal""}"
arn:aws:iam::123456789012:user/brooke-harvey,brooke-harvey,AIDA4RFXVLHZZ5RY62KHI,123456789012,/,brooke.harvey@corp.nexusai.com,2021-04-15,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""brooke.harvey@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/emily-evans,emily-evans,AIDAOAVWSXGCK7I2GQMMH,123456789012,/it/,emily.evans@corp.nexusai.com,2023-07-19,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""emily.evans@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/charlese,charlese,AIDAMNSWILUHW62S3AGBY,123456789012,/,charles.ellis@corp.nexusai.com,2023-05-22,2026-06-08 00:00:00,2026-06-08 00:00:00,human,True,False,"{""Department"": ""Marketing"", ""Email"": ""charles.ellis@corp.nexusai.com"", ""CostCenter"": ""Marketing""}"
arn:aws:iam::123456789012:user/charles-lewis,charles-lewis,AIDA4GOYPSDYY2UDAQM4O,123456789012,/,charles.lewis@corp.nexusai.com,2023-07-29,2026-06-20 00:00:00,2026-06-20 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""charles.lewis@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/cheryl-archer,cheryl-archer,AIDA47CSMUFGKAENN3GN3,123456789012,/,cheryl.archer@corp.nexusai.com,2025-02-08,2025-09-07 00:00:00,2025-09-07 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""cheryl.archer@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/destiny-smith,destiny-smith,AIDAGSTFS4YZB6KOIZSJT,123456789012,/finance/,destiny.smith@corp.nexusai.com,2024-06-16,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""destiny.smith@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/elizabeth-mcmillan,elizabeth-mcmillan,AIDAN2JKLOQMHLD5ESEQG,123456789012,/,elizabeth.mcmillan@corp.nexusai.com,2024-12-29,2026-06-10 00:00:00,2026-06-10 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""elizabeth.mcmillan@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/dennisw,dennisw,AIDAM7VWIPGSEMU74VTJX,123456789012,/,,2022-11-09,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""dennis.wilson@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/daniel-tran,daniel-tran,AIDAU3KAUPO3RXIV654WT,123456789012,/,daniel.tran@corp.nexusai.com,2020-09-05,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""daniel.tran@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/r.hill,r.hill,AIDA66NK2BPCIKICJDKQL,123456789012,/security/,rodney.hill@corp.nexusai.com,2021-08-26,2026-06-17 00:00:00,2026-06-17 00:00:00,human,True,True,"{""Department"": ""Security"", ""Email"": ""rodney.hill@corp.nexusai.com"", ""CostCenter"": ""Security""}"
arn:aws:iam::123456789012:user/joyce-arnold,joyce-arnold,AIDAJGL6CHF6IA32XC3O6,123456789012,/finance/,joyce.arnold@corp.nexusai.com,2023-01-12,2026-06-18 00:00:00,2026-06-18 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""joyce.arnold@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/r.gardner,r.gardner,AIDADKYAFJ63FEQOXFCYZ,123456789012,/it/,rebecca.gardner@corp.nexusai.com,2024-02-13,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""rebecca.gardner@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/k.nolan,k.nolan,AIDA2GESVHQQ4Y6PV55B6,123456789012,/,kyle.nolan@corp.nexusai.com,2024-10-30,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,False,"{""Department"": ""Marketing"", ""Email"": ""kyle.nolan@corp.nexusai.com"", ""CostCenter"": ""Marketing""}"
arn:aws:iam::123456789012:user/laura-valencia,laura-valencia,AIDAFZVEL6UWNRLM7MPPQ,123456789012,/finance/,laura.valencia@corp.nexusai.com,2020-10-16,2026-06-07 00:00:00,2026-06-07 00:00:00,human,True,False,"{""Department"": ""Finance"", ""Email"": ""laura.valencia@corp.nexusai.com"", ""CostCenter"": ""Finance""}"
arn:aws:iam::123456789012:user/john-garcia,john-garcia,AIDAUXQLQPR6VXL73N2XX,123456789012,/security/,john.garcia@corp.nexusai.com,2021-11-19,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,True,"{""Department"": ""Security"", ""Email"": ""john.garcia@corp.nexusai.com"", ""CostCenter"": ""Security""}"
arn:aws:iam::123456789012:user/e.spears,e.spears,AIDAWB2HWMLSWU74FYS5J,123456789012,/,eric.spears@corp.nexusai.com,2022-10-01,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""eric.spears@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/l.keith,l.keith,AIDAGGE6DBZFGQJFYTOPS,123456789012,/,,2023-11-23,2026-06-18 00:00:00,2026-06-18 00:00:00,human,True,False,"{""Department"": ""HR"", ""Email"": ""lisa.keith@corp.nexusai.com"", ""CostCenter"": ""HR""}"
arn:aws:iam::123456789012:user/angeld,angeld,AIDAX2QJTAAIWS6A76TA3,123456789012,/engineering/,,2020-11-17,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""angel.doyle@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/m.galvan,m.galvan,AIDASOAXM23ZPKYYOQF3P,123456789012,/,martin.galvan@corp.nexusai.com,2023-07-08,2026-06-20 00:00:00,2026-06-20 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""martin.galvan@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/l.shields,l.shields,AIDAOFJA7NV2T7X5CVFJD,123456789012,/engineering/,,2024-01-19,2026-06-15 00:00:00,2026-06-15 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""leah.shields@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/lisaa,lisaa,AIDACM5GN6YTUKCHQ6TMX,123456789012,/it/,lisa.adams@corp.nexusai.com,2022-02-22,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""lisa.adams@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/k.rodriguez,k.rodriguez,AIDAJXFPK7FVDDWJGI7OU,123456789012,/engineering/,kristin.rodriguez@corp.nexusai.com,2022-03-22,2025-10-06 00:00:00,2025-10-06 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""kristin.rodriguez@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/j.velasquez,j.velasquez,AIDAQX5AYLBXPUEYM7JSU,123456789012,/,jeffrey.velasquez@corp.nexusai.com,2024-10-02,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,False,"{""Department"": ""HR"", ""Email"": ""jeffrey.velasquez@corp.nexusai.com"", ""CostCenter"": ""HR""}"
arn:aws:iam::123456789012:user/steven-torres,steven-torres,AIDACY7QDXOEAN7F5DX2X,123456789012,/,steven.torres@corp.nexusai.com,2025-05-25,2026-06-19 00:00:00,2026-06-19 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""steven.torres@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/m.lin,m.lin,AIDATATONUBRJGC5WJIQX,123456789012,/,,2024-04-11,2026-06-12 00:00:00,2026-06-12 00:00:00,human,True,False,"{""Department"": ""Executive"", ""Email"": ""mark.lin@corp.nexusai.com"", ""CostCenter"": ""Executive""}"
arn:aws:iam::123456789012:user/t.ramirez,t.ramirez,AIDAYFDVW32HOAYDTCUJU,123456789012,/it/,,2022-02-15,2026-06-09 00:00:00,2026-06-09 00:00:00,human,True,True,"{""Department"": ""IT-Operations"", ""Email"": ""tammy.ramirez@corp.nexusai.com"", ""CostCenter"": ""IT-Operations""}"
arn:aws:iam::123456789012:user/taraw,taraw,AIDAXJFHDPJSAVHT46BVN,123456789012,/,tara.white@corp.nexusai.com,2022-09-24,2026-06-08 00:00:00,2026-06-08 00:00:00,human,True,False,"{""Department"": ""Operations"", ""Email"": ""tara.white@corp.nexusai.com"", ""CostCenter"": ""Operations""}"
arn:aws:iam::123456789012:user/d.hamilton,d.hamilton,AIDAOYGU7FLM5BCPTV7ZK,123456789012,/,daniel.hamilton@corp.nexusai.com,2025-05-23,2025-05-24 00:00:00,2025-05-24 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""daniel.hamilton@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/jessicae,jessicae,AIDAJVZIFYO2PJ3TV4INI,123456789012,/engineering/,,2020-07-28,2026-06-14 00:00:00,2026-06-14 00:00:00,human,True,True,"{""Department"": ""Engineering"", ""Email"": ""jessica.edwards@corp.nexusai.com"", ""CostCenter"": ""Engineering""}"
arn:aws:iam::123456789012:user/jonathanf,jonathanf,AIDA6IKMOC2AR2OMNEL47,123456789012,/,,2023-08-13,2026-06-13 00:00:00,2026-06-13 00:00:00,human,True,False,"{""Department"": ""Sales"", ""Email"": ""jonathan.fletcher@corp.nexusai.com"", ""CostCenter"": ""Sales""}"
arn:aws:iam::123456789012:user/amanda-ball,amanda-ball,AIDATS5K3SDJ54FHLIZ2U,123456789012,/,amanda.ball@corp.nexusai.com,2024-03-13,2026-06-12 00:00:00,2026-06-12 00:00:00,human,True,False,"{""Department"": ""Marketing"", ""Email"": ""amanda.ball@corp.nexusai.com"", ""CostCenter"": ""Marketing""}"
